sample,aminoglycoside,aminoglycoside:aminocoumarin,antibacterial_free_fatty_acids,bacitracin,beta-lactam,bicyclomycin,diaminopyrimidine,fluoroquinolone,"fluoroquinolone,multidrug","fluoroquinolone/fluoroquinolone,multidrug",fluoroquinolone/multidrug,"fluoroquinolone/multidrug/fluoroquinolone,multidrug",fosfomycin,fosmidomycin,fusidic-acid,glycopeptide,MLS,multidrug,"multidrug/fluoroquinolone,multidrug",mupirocin,nitroimidazole,nucleoside,oxazolidinone,peptide,"peptide,polymyxin","peptide/peptide,polymyxin",peptide/polymyxin,"peptide/polymyxin/peptide,polymyxin",phenicol,pleuromutilin,polymyxin,polymyxin/peptide,"polymyxin/peptide,polymyxin","polymyxin/peptide/peptide,polymyxin",rifamycin,sulfonamide,tetracenomycin_C,tetracycline,triclosan,unclassified
C181,0.0260855791163,1.65035773117e-4,8.51108965356e-4,0.110813243155,0.0210226172026,0,0.00209503745318,0.00285351480903,0.00190940122315,0,0,0,0.00180866542721,0.0152988832557,0,0.00672099263505,0.0225960232866,0.453767714125,0,2.45512201545e-5,0.00419007490637,3.15834791937e-4,7.6764731109e-5,0.0130349280359,0.0020887080349,0,0,0,0.00516040804258,2.13383444306e-4,0,0,0,0,0.0227102059925,0.00564105490928,2.33647299612e-5,0.0216060341749,0.00988405636626,0.033093040587
C182,0.301102594137,3.95886244299e-5,2.35572934433e-4,0.0714402105162,0.102293025992,0,0.00122846922845,0.00106215272199,0,0,0,0,2.04045128171e-4,0.00750156154137,0,0.00382590709858,0.186354241161,0.715725371604,0,0,0.00192732660584,8.6368850735e-4,1.38106880645e-5,0.0116754597471,0,0,0,0,0.00121882956561,9.77191431723e-5,0,0,0,4.50933568752e-4,0.0174571942991,0.00370518847132,3.36282553243e-5,0.0141108763699,0.00311542762085,0.0234752042245
C183,0.0513794750073,5.7629853552e-4,7.59339783548e-4,0.0830712491295,0.0193495173599,0,0.00324935076878,0.00353415842191,0,0.0136724569601,0,0,0.00147808813166,0.0135813685535,4.41596966352e-5,0.0120356540926,0.0415029772426,0.620894655596,0,1.83711237955e-5,0.00337776153799,6.2706769222e-4,2.87206576589e-5,0.0126769653695,0.00225914870989,0,0,0,0.00321016754132,5.80618233537e-4,0,0,0,0,0.0169935344592,0.00412136363085,0,0.0426375367253,0.0111037816454,0.0335929120832
C184,0.0260015753218,0,3.59576382862e-4,0.111271109246,0.0180307167654,0,0.00175894689196,0.0032425204936,0,0,0,0.00203911670282,0.00204559008917,0.0178490208391,0,0.00432456965161,0.0485546658529,1.25420242342,0,0,0.00545666428426,0,0,0.0170817316725,0,0,0,0,0.00203482382555,0,0,0.0020857602873,0,0,0.0532930049548,0.00146371728996,0,0.00742714249981,0.025495606765,0.0254130057091
C197,0.0618970104306,2.17725193495e-5,2.3320409397e-4,0.244596071249,0.0945085282788,0,0.00139427330917,0.00699034215661,0,0,0,0,0.0018611588123,0.0355289281115,0,0.00826260743078,0.0889224568539,3.78839096017,0,0,0.00596660554743,0,0,0.0245749649981,0.00287078232093,0,0,0,0.00247179974408,4.60650062162e-5,0,0,0,0,0.0425931594319,0.00370831799119,0,0.0206299145687,0.0329878964017,0.0810043243053
C198,0.0933195912186,0,1.63224492688e-4,0.195611101919,0.107357293833,0,9.9489214591e-4,0.00578244554472,0,0,0,0,0.00233583373388,0.0364494510335,0,0.0139713733249,0.530111698412,4.14850388815,0,0,0.00613858710647,2.24975610884e-4,0,0.0244394255294,0.00474752913736,0,0,0,0.00294069173233,6.90897323549e-5,0,0,0,0,0.0399789554422,0.00498914548447,0,0.0861688493318,0.0516621483817,0.0633373975344
C199,0.115280542113,0,0,0.0935962209668,0.19655206403,0,7.28157314523e-4,7.1818255679e-4,0,0,0,0,6.55341583071e-4,0.0137621732445,0,9.23635788221e-4,0.268690049059,4.77973958474,0,0,0.00228581342549,0,0,0.0243557361543,0.0031876131382,0,0,0,5.79459926084e-4,0,0,0,0,0,0.00321922181158,6.48394499151e-4,0,0.0637075338457,0.0219852145192,0.033772204281
C200,0.187084564659,0,0.00169178518175,0.138905377764,0.0960141679667,0,0.00268045784235,0.0141323694389,0,0,0,0,0.0014028889746300001,0.0457662917277,0,0.00182513175843,0.129861200677,2.69863964012,0,0,0.0083846998986,0,0,0.0120422363959,0,0,0,0.00102698123869,0.00225825366928,0,0,0,0,0,0.0286257507374,0.0591508936517,0,0.0410391858405,0.00890182981668,0.0391140540921
C201,0.0906660203123,0,0.00166848703372,0.158276541159,0.0369443320904,0,0.00156033856732,0.0258875741169,0,0,0,0,0.00141684878582,0.0760657732906,0,0.00366764145431,0.122051713946,2.63908158384,0,0,0.0101343639356,9.46939138264e-5,2.87696012999e-5,0.0108517147865,0,0,0,0.00102475407651,0.00523667311241,0,0,0,0,0,0.0662849090301,0.0844987588428,0,0.0381949869385,0.00797550648485,0.0452026916621
C202,0.176268384085,0,8.72727981902e-4,0.0748819789307,0.0368640299555,0,0,0.0144281917634,0,0,0,0,0,0.0400518285548,0,0.0102440734295,0.0695332661499,2.03134327745,0,0,0.0069098462897,0,0,0.00777357707591,0.00303740977387,0,0,0,0.00352765836895,5.17172137423e-4,0,0,0,0,0.241056655212,0.0521046359796,0,0.0819382750734,0.00417171217905,0.0370079497602
